"","Number","Primary_Thorfare","Locality","Townland","Town","County","Postcode","x_coordinates","y_coordinates","Primary_Key"
"7389","4","THEIPVAL COURT","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266938,422865,7389
"66450","7","THEIPVAL COURT","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266978,422845,66450
"95740","4","DONALD'S WAY","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267401,422512,95740
"175238","6","DONALD'S WAY","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267411,422499,175238
"201778","10","DONALD'S WAY","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267418,422476,201778
"204416","5","DONALD'S WAY","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267409,422504,204416
"213454","15","DONALD'S WAY","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267450,422483,213454
"245197","3","DONALD'S WAY","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267396,422522,245197
"257308","1","DONALD'S WAY","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267393,422539,257308
"257347","11","THEIPVAL COURT","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266952,422826,257347
"257348","9","THEIPVAL COURT","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266965,422835,257348
"259665","12","DONALD'S WAY","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267422,422465,259665
"277768","12","THEIPVAL COURT","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266946,422822,277768
"331003","10","THEIPVAL COURT","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266959,422831,331003
"331751","11","DONALD'S WAY","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267421,422470,331751
"360520","7","DONALD'S WAY","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267412,422491,360520
"569726","13","DONALD'S WAY","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267440,422470,569726
"626202","16","DONALD'S WAY","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267446,422491,626202
"631964","5","THEIPVAL COURT","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266944,422858,631964
"670582","8","DONALD'S WAY","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267414,422486,670582
"670625","14","DONALD'S WAY","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267443,422464,670625
"810068","3","THEIPVAL COURT","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266913,422845,810068
"820707","6","THEIPVAL COURT","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266950,422853,820707
"906257","9","DONALD'S WAY","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267417,422480,906257
"920955","2","DONALD'S WAY","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267395,422533,920955
"920975","2","THEIPVAL COURT","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266919,422839,920975
"920976","1","THEIPVAL COURT","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266924,422833,920976
"941533","8","THEIPVAL COURT","NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266972,422840,941533
